llave,year_month,dias
2100002,2017-11,"Mon,Tue,Wed,Thu,Fri"
2100002,2017-12,"Sun,Mon,Tue,Wed,Thu,Fri"
2100002,2018-01,"Mon,Tue,Wed,Thu,Fri"
2100002,2018-02,"Mon,Tue,Wed,Thu,Fri"
2100002,2018-03,"Mon,Tue,Wed,Thu,Fri"
2100002,2018-04,"Mon,Tue,Wed,Thu,Fri"
2100002,2018-05,"Mon,Tue,Wed,Thu,Fri"
2100002,2018-06,"Mon,Tue,Wed,Thu,Fri"
2100002,2018-07,"Mon,Tue,Wed,Thu,Fri"
2100002,2018-08,"Mon,Tue,Wed,Thu,Fri"
2100002,2018-09,"Mon,Tue,Wed,Thu,Fri"
2100002,2018-10,"Mon,Tue,Wed,Thu,Fri"
2100002,2018-11,"Mon,Tue,Wed,Thu,Fri"
2100002,2018-12,"Mon,Tue,Wed,Thu,Fri"
2100002,2019-01,"Mon,Tue,Wed,Thu,Fri"
2100002,2019-02,"Mon,Tue,Wed,Thu,Fri"
2100002,2019-03,"Mon,Tue,Wed,Thu,Fri"
2100002,2019-04,"Mon,Tue,Wed,Thu,Fri"
2100002,2019-05,"Mon,Tue,Wed,Thu,Fri"
2100002,2019-06,"Mon,Tue,Wed,Thu,Fri"
2100002,2019-07,"Mon,Tue,Wed,Thu,Fri"
2100002,2019-08,"Mon,Tue,Wed,Thu,Fri"
2100002,2019-09,"Mon,Tue,Wed,Thu,Fri"
2100002,2019-10,"Mon,Tue,Wed,Thu,Fri"
2100002,2019-11,"Mon,Tue,Wed,Thu,Fri"
2100022,2017-11,"Mon,Tue,Wed,Thu,Fri"
2100022,2017-12,"Mon,Tue,Wed,Thu,Fri"
2100022,2018-01,"Mon,Tue,Wed,Thu,Fri"
2100022,2018-02,"Mon,Tue,Wed,Thu,Fri"
2100022,2018-03,"Mon,Tue,Wed,Thu,Fri"
2100022,2018-04,"Mon,Tue,Wed,Thu,Fri"
2100022,2018-05,"Mon,Tue,Wed,Thu,Fri"
2100022,2018-06,"Mon,Tue,Wed,Thu,Fri"
2100022,2018-07,"Mon,Tue,Wed,Thu,Fri"
2100022,2018-08,"Mon,Tue,Wed,Thu,Fri"
2100022,2018-09,"Mon,Tue,Wed,Thu,Fri"
2100022,2018-10,"Mon,Tue,Wed,Thu,Fri"
2100022,2018-11,"Mon,Tue,Wed,Thu,Fri"
2100022,2018-12,"Mon,Tue,Wed,Thu,Fri"
2100022,2019-01,"Mon,Tue,Wed,Thu,Fri"
2100022,2019-02,"Mon,Tue,Wed,Thu,Fri"
2100022,2019-03,"Mon,Tue,Wed,Thu,Fri"
2100022,2019-04,"Mon,Tue,Wed,Thu,Fri"
2100022,2019-05,"Mon,Tue,Wed,Thu,Fri"
2100022,2019-06,"Mon,Tue,Wed,Thu,Fri"
2100022,2019-07,"Mon,Tue,Wed,Thu,Fri"
2100022,2019-08,"Mon,Tue,Wed,Thu,Fri"
2100022,2019-09,"Mon,Tue,Wed,Thu,Fri"
2100022,2019-10,"Mon,Tue,Wed,Thu,Fri"
2100022,2019-11,"Mon,Tue,Wed,Thu,Fri"
2100052,2017-11,"Mon,Tue,Wed,Thu,Fri"
2100052,2017-12,"Mon,Tue,Wed,Thu,Fri"
2100052,2018-01,"Mon,Tue,Wed,Thu,Fri"
2100052,2018-02,"Mon,Tue,Wed,Thu,Fri"
2100052,2018-03,"Mon,Tue,Wed,Thu,Fri"
2100052,2018-04,"Mon,Tue,Wed,Thu,Fri"
2100052,2018-05,"Mon,Tue,Wed,Thu,Fri"
2100052,2018-06,"Mon,Tue,Wed,Thu,Fri"
2100052,2018-07,"Mon,Tue,Wed,Thu,Fri"
2100052,2018-08,"Mon,Tue,Wed,Thu,Fri"
2100052,2018-09,"Mon,Tue,Wed,Thu,Fri"
2100052,2018-10,"Mon,Tue,Wed,Thu,Fri"
2100052,2018-11,"Mon,Tue,Wed,Thu,Fri"
2100052,2018-12,"Mon,Tue,Wed,Thu,Fri"
2100052,2019-01,"Mon,Tue,Wed,Thu,Fri"
2100052,2019-02,"Mon,Tue,Wed,Thu,Fri"
2100052,2019-03,"Mon,Tue,Wed,Thu,Fri"
2100052,2019-04,"Mon,Tue,Wed,Thu,Fri"
2100052,2019-05,"Mon,Tue,Wed,Thu,Fri"
2100052,2019-06,"Mon,Tue,Wed,Thu,Fri"
2100052,2019-07,"Mon,Tue,Wed,Thu,Fri"
2100052,2019-08,"Mon,Tue,Wed,Thu,Fri"
2100052,2019-09,"Mon,Tue,Wed,Thu,Fri"
2100052,2019-10,"Mon,Tue,Wed,Thu,Fri"
2100052,2019-11,"Mon,Tue,Wed,Thu,Fri"
2100062,2017-11,"Mon,Tue,Wed,Thu,Fri"
2100062,2017-12,"Mon,Tue,Wed,Thu,Fri"
2100062,2018-01,"Mon,Tue,Wed,Thu,Fri"
2100062,2018-02,"Mon,Tue,Wed,Thu,Fri"
2100062,2018-03,"Mon,Tue,Wed,Thu,Fri"
2100062,2018-04,"Mon,Tue,Wed,Thu,Fri"
2100062,2018-05,"Mon,Tue,Wed,Thu,Fri"
2100062,2018-06,"Mon,Tue,Wed,Thu,Fri"
2100062,2018-07,"Mon,Tue,Wed,Thu,Fri"
2100062,2018-08,"Mon,Tue,Wed,Thu,Fri"
2100062,2018-09,"Mon,Tue,Wed,Thu,Fri"
2100062,2018-10,"Mon,Tue,Wed,Thu,Fri"
2100062,2018-11,"Mon,Tue,Wed,Thu,Fri"
2100062,2018-12,"Mon,Tue,Wed,Thu,Fri"
2100062,2019-01,"Mon,Tue,Wed,Thu,Fri"
2100062,2019-02,"Mon,Tue,Wed,Thu,Fri"
2100062,2019-03,"Mon,Tue,Wed,Thu,Fri"
2100062,2019-04,"Mon,Tue,Wed,Thu,Fri"
2100062,2019-05,"Mon,Tue,Wed,Thu,Fri"
2100062,2019-06,"Mon,Tue,Wed,Thu,Fri"
2100062,2019-07,"Mon,Tue,Wed,Thu,Fri"
2100062,2019-08,"Mon,Tue,Wed,Thu,Fri"
2100062,2019-09,"Mon,Tue,Wed,Thu,Fri"
2100062,2019-10,"Mon,Tue,Wed,Thu,Fri"
2100062,2019-11,"Mon,Tue,Wed,Thu,Fri"
2100072,2017-11,"Mon,Tue,Wed,Thu,Fri"
2100072,2017-12,"Mon,Tue,Wed,Thu,Fri"
2100072,2018-01,"Mon,Tue,Wed,Thu,Fri"
2100072,2018-02,"Mon,Tue,Wed,Thu,Fri"
2100072,2018-03,"Mon,Tue,Wed,Thu,Fri"
2100072,2018-04,"Mon,Tue,Wed,Thu,Fri"
2100072,2018-05,"Mon,Tue,Wed,Thu,Fri"
2100072,2018-06,"Mon,Tue,Wed,Thu,Fri"
2100072,2018-07,"Mon,Tue,Wed,Thu,Fri"
2100072,2018-08,"Mon,Tue,Wed,Thu,Fri"
2100072,2018-09,"Mon,Tue,Wed,Thu,Fri"
2100072,2018-10,"Mon,Tue,Wed,Thu,Fri"
2100072,2018-11,"Mon,Tue,Wed,Thu,Fri"
2100072,2018-12,"Mon,Tue,Wed,Thu,Fri"
2100072,2019-01,"Mon,Tue,Wed,Thu,Fri"
2100072,2019-02,"Mon,Tue,Wed,Thu,Fri"
2100072,2019-03,"Mon,Tue,Wed,Thu,Fri"
2100072,2019-04,"Mon,Tue,Wed,Thu,Fri"
2100072,2019-05,"Mon,Tue,Wed,Thu,Fri"
2100072,2019-06,"Mon,Tue,Wed,Thu,Fri"
2100072,2019-07,"Mon,Tue,Wed,Thu,Fri"
2100072,2019-08,"Mon,Tue,Wed,Thu,Fri"
2100072,2019-09,"Mon,Tue,Wed,Thu,Fri"
2100072,2019-10,"Mon,Tue,Wed,Thu,Fri"
2100072,2019-11,"Mon,Tue,Wed,Thu,Fri"
2100082,2017-11,"Mon,Tue,Wed,Thu,Fri"
2100082,2017-12,"Mon,Tue,Wed,Thu,Fri"
2100082,2018-01,"Mon,Tue,Wed,Thu,Fri"
2100082,2018-02,"Mon,Tue,Wed,Thu,Fri"
2100082,2018-03,"Mon,Tue,Wed,Thu,Fri"
2100082,2018-04,"Mon,Tue,Wed,Thu,Fri"
2100082,2018-05,"Mon,Tue,Wed,Thu,Fri"
2100082,2018-06,"Mon,Tue,Wed,Thu,Fri"
2100082,2018-07,"Mon,Tue,Wed,Thu,Fri"
2100082,2018-08,"Mon,Tue,Wed,Thu,Fri"
2100082,2018-09,"Mon,Tue,Wed,Thu,Fri"
2100082,2018-10,"Mon,Tue,Wed,Thu,Fri"
2100082,2018-11,"Mon,Tue,Wed,Thu,Fri"
2100082,2018-12,"Mon,Tue,Wed,Thu,Fri"
2100082,2019-01,"Mon,Tue,Wed,Thu,Fri"
2100082,2019-02,"Mon,Tue,Wed,Thu,Fri"
2100082,2019-03,"Mon,Tue,Wed,Thu,Fri"
2100082,2019-04,"Mon,Tue,Wed,Thu,Fri"
2100082,2019-05,"Mon,Tue,Wed,Thu,Fri"
2100082,2019-06,"Mon,Tue,Wed,Thu,Fri"
2100082,2019-07,"Mon,Tue,Wed,Thu,Fri"
2100082,2019-08,"Mon,Tue,Wed,Thu,Fri"
2100082,2019-09,"Mon,Tue,Wed,Thu,Fri"
2100082,2019-10,"Mon,Tue,Wed,Thu,Fri"
2100082,2019-11,"Mon,Tue,Wed,Thu,Fri"
2100092,2017-11,"Mon,Tue,Wed,Thu,Fri"
2100092,2017-12,"Mon,Tue,Wed,Thu,Fri"
2100092,2018-01,"Mon,Tue,Wed,Thu,Fri"
2100092,2018-02,"Mon,Tue,Wed,Thu,Fri"
2100092,2018-03,"Mon,Tue,Wed,Thu,Fri"
2100092,2018-04,"Mon,Tue,Wed,Thu,Fri"
2100092,2018-05,"Mon,Tue,Wed,Thu,Fri"
2100092,2018-06,"Mon,Tue,Wed,Thu,Fri"
2100092,2018-07,"Mon,Tue,Wed,Thu,Fri"
2100092,2018-08,"Mon,Tue,Wed,Thu,Fri"
2100092,2018-09,"Mon,Tue,Wed,Thu,Fri"
2100092,2018-10,"Mon,Tue,Wed,Thu,Fri"
2100092,2018-11,"Mon,Tue,Wed,Thu,Fri"
2100092,2018-12,"Mon,Tue,Wed,Thu,Fri"
2100092,2019-01,"Mon,Tue,Wed,Thu,Fri"
2100092,2019-02,"Mon,Tue,Wed,Thu,Fri"
2100092,2019-03,"Mon,Tue,Wed,Thu,Fri"
2100092,2019-04,"Mon,Tue,Wed,Thu,Fri"
2100092,2019-05,"Mon,Tue,Wed,Thu,Fri"
2100092,2019-06,"Mon,Tue,Wed,Thu,Fri"
