llave,jornada,nombre,region,zona,mes,num_cajeros,porc_menor_1m,porc_mayor_1m,porc_otros
2100002,21,0 - Oficina Principal,Bogota Sur,Teusaquillo,201911,3,0.60503937007874,0.353385826771654,0.0415748031496063
2100022,21,2 - Centro ADM CAN,Bogota Sur,Calle 26,201911,3,0.636412078152753,0.339964476021314,0.0236234458259325
2100052,21,5 - Suba,Bogota Norte,Noroccidente,201911,3,0.693196892173584,0.281599393594846,0.025203714231571
2100062,21,6 - Cedritos,Bogota Norte,Santa Barbara,201911,3,0.641982622432859,0.337875197472354,0.0201421800947867
2100072,21,7 - Antiguo Country,Bogota Norte,Carrera Septima,201911,3,0.718789407313997,0.271752837326608,0.0094577553593947
2100082,21,8 - El Chico,Bogota Norte,Carrera Septima,201911,2,0.719857182092832,0.262290579511123,0.017852238396045
2100092,21,9 - Calle 100,Bogota Norte,Carrera Septima,201911,5,0.702362204724409,0.28248031496063,0.0151574803149606
2100102,21,10 - Avenida Caracas,Bogota Sur,Centro Oriental,201911,2,0.591118800461361,0.396193771626298,0.0126874279123414
2100112,21,11 - Bacata Funza,Central,Sabana,201911,3,0.718846549948507,0.262174488745035,0.0189789613064587
2100122,21,12 - Pasadena,Bogota Norte,Calle 72,201911,3,0.662425149700599,0.318363273453094,0.0192115768463074
2100132,21,13 - Galan,Oriente,Magdalena Medio,201911,3,0.63716814159292,0.341463414634146,0.0213684437729333
2100142,21,14 - Los Heroes,Bogota Norte,Calle 72,201911,3,0.670809028658382,0.279229013441542,0.0499619579000761
2100152,21,15 - Centro Comercial Calima Bogota,Bogota Sur,Teusaquillo,201911,3,0.585807109185884,0.397630271372149,0.0165626194419671
2100162,21,16 - Cota,Bogota Norte,Noroccidente,201911,4,0.705541770057899,0.28110599078341,0.0133522391586908
2100172,21,17 - CUAN,Bogota Sur,Calle 26,201911,3,0.658701532912534,0.311541929666366,0.0297565374211001
2100182,21,18 - Zona Industrial Montevideo,Bogota Sur,Zona Industrial,201911,3,0.712480252764613,0.255924170616114,0.0315955766192733
2100192,21,19 - Barrio Restrepo,Bogota Sur,Sur Oriente,201911,4,0.631706621004566,0.335616438356164,0.0326769406392694
2100202,21,20 - San Jose,Bogota Sur,Zona Industrial,201911,3,0.704942290618526,0.264575318141462,0.0304823912400118
2100212,21,21 - Veinte de Julio,Bogota Sur,Sur Oriente,201911,4,0.713833414515344,0.260472479298587,0.0256941061860692
2100222,21,22 - Venecia,Bogota Sur,Autopista Sur,201911,3,0.663631396831178,0.318703332726279,0.0176652704425423
2100232,21,23 - Modelia,Bogota Sur,Calle 26,201911,3,0.662888122227698,0.323147691802201,0.0139641859701002
2100242,21,24 - Centro Comercial Diver plaza,Bogota Norte,Occidental,201911,3,0.691411798125178,0.289461225262759,0.0191269766120633
2100252,21,25 - Plaza de las Americas,Bogota Sur,Occidente,201911,3,0.624075248361869,0.35573874445149,0.0201860071866413
2100262,21,26 - Santuario 20 de Julio,Bogota Sur,Sur Oriente,201911,3,0.677634378102397,0.296411856474259,0.0259537654233442
2100272,21,27 - Carvajal,Bogota Sur,Occidente,201911,3,0.633311389071758,0.353522053982884,0.0131665569453588
2100282,21,28 - Calle 13 Carrera 30,Bogota Sur,Teusaquillo,201911,3,0.706105662764948,0.284087314141095,0.00980702309395761
2100302,21,30 - Gaitana,Bogota Norte,Noroccidente,201911,3,0.716921119592875,0.26412213740458,0.0189567430025445
2100322,21,32 - Carrera 24 N 26-01,Bogota Sur,Teusaquillo,201911,3,0.720284102778358,0.262795069981199,0.0169208272404429
2100332,21,33 - Andes,Bogota Sur,Centro Oriental,201911,3,0.657888813864506,0.318028359216745,0.0240828269187486
2100342,21,34 - Parque Santander,Bogota Sur,Centro Oriental,201911,3,0.676232394366197,0.307042253521127,0.0167253521126761
2100352,21,35 - Avenida 19,Bogota Sur,Centro Oriental,201911,4,0.695182094081942,0.281107738998483,0.0237101669195751
2100362,21,36 - Carrera 10 Calle 17,Bogota Sur,Centro Oriental,201911,4,0.721933246640659,0.263112267013437,0.0149544863459038
2100372,21,37 - Carrera 47,Bogota Sur,Teusaquillo,201911,3,0.697512206463613,0.281329923273657,0.0211578702627296
2100382,21,38 - Avenida Chile,Bogota Norte,Calle 72,201911,3,0.73145197997269,0.247837960855712,0.0207100591715976
2100392,21,39 - Parque El Virrey,Bogota Norte,Carrera Septima,201911,4,0.706531464360274,0.280495079033701,0.0129734566060245
2100402,21,40 - Chapinero,Bogota Norte,Chapinero,201911,3,0.729739191318047,0.24417994048661,0.026080868195344
2100412,21,41 - Calle 54 N 10-73,Bogota Norte,Chapinero,201911,3,0.729721549636804,0.248789346246973,0.0214891041162228
2100432,21,43 - Universidad Javeriana,Bogota Sur,Teusaquillo,201911,2,0.767967145790554,0.22299794661191,0.00903490759753593
2100442,21,44 - Ilarco,Bogota Norte,Noroccidente,201911,3,0.682622504537205,0.299682395644283,0.0176950998185118
2100452,21,45 - Central de Abastos,Bogota Sur,Occidente,201911,4,0.484742371185593,0.506253126563282,0.00900450225112556
2100462,21,46 - Ciudad Salitre,Bogota Sur,Calle 26,201911,4,0.656339762002462,0.328272466146902,0.015387771850636
2100472,21,47 - Unicentro Bogota Entrada Principal,Bogota Norte,Santa Barbara,201911,2,0.569472056549591,0.420145791915176,0.010382151535233
2100492,21,49 - El Castillo,Bogota Norte,Calle 72,201911,4,0.714389140271493,0.273484162895928,0.0121266968325792
2100502,21,50 - El Nogal,Bogota Norte,Calle 72,201911,2,0.736030341340076,0.249304677623262,0.0146649810366625
2100512,21,51 - Las Aguas,Bogota Sur,Centro Oriental,201911,3,0.700691121743753,0.273790536948432,0.025518341307815
2100522,21,52 - Central San Martin,Bogota Sur,Teusaquillo,201911,3,0.732518232518233,0.259116259116259,0.00836550836550837
2100542,21,54 - Paloquemao,Bogota Sur,Teusaquillo,201911,3,0.627657607690886,0.362728785357737,0.00961360695137734
2100552,21,55 - Calle 9a. Carrera 34,Bogota Sur,Zona Industrial,201911,3,0.622742988859009,0.366308106031502,0.0109489051094891
2100562,21,56 - Carrera 11 N 68-09,Bogota Norte,Chapinero,201911,3,0.687434279705573,0.289957939011567,0.0226077812828602
2100572,21,57 - Ricaurte,Bogota Sur,Zona Industrial,201911,3,0.645511482254697,0.341753653444676,0.0127348643006263
2100582,21,58 - San Agustin,Bogota Sur,Centro Oriental,201911,2,0.61044437236458,0.376256892637042,0.0132987349983782
2100592,21,59 - Mesitas del Colegio,Central,Cundinamarca,201911,2,0.682973490024597,0.297075703744192,0.0199508062312107
2100602,21,60 - Kennedy,Bogota Sur,Occidente,201911,3,0.688863185723728,0.291804362194316,0.0193324520819564
2100612,21,61 - Centro IND. Cazuca,Bogota Sur,Autopista Sur,201911,3,0.682043343653251,0.302786377708978,0.0151702786377709
2100622,21,62 - San Diego,Bogota Sur,Calle 26,201911,4,0.698202459791864,0.280794701986755,0.0210028382213813
2100634,21,63 - Oficina de Recaudos y Pagos Centro Comercial Iserra 100,Bogota Norte,No hay informacion,201911,3,0.744304411051866,0.251575375666505,0.0041202132816287
2100642,21,64 - Centro Comercial El Portico,Central,Cundinamarca,201911,2,0.693499238191976,0.289740985271712,0.0167597765363129
2100662,21,66 - Pacho,Central,Sabana,201911,2,0.750517063081696,0.231902792140641,0.0175801447776629
2100672,21,67 - Tabio,Central,Cundinamarca,201911,2,0.763612565445026,0.213350785340314,0.0230366492146597
2100682,21,68 - San Victorino,Bogota Sur,Centro Oriental,201911,2,0.627126654064272,0.362948960302457,0.00992438563327032
2100712,21,71 - Avenida 6a. Carrera 22,Bogota Sur,Centro Oriental,201911,3,0.607953404298052,0.380598513757783,0.0114480819441655
2100722,21,72 - El Lago,Bogota Norte,Chapinero,201911,3,0.729383506805444,0.257806244995997,0.0128102481985588
